Designator,Mid X,Mid Y,Rotation,Layer
BZ1,53.145,-72.64,180.0,top
C1,58.695,-32.61,180.0,top
C10,58.024064,-94.0272,270.0,top
C11,62.14,-93.28,0.0,top
C12,60.47463,-97.6568,270.0,top
C13,49.75,-88.36,90.0,top
C14,46.0196,-89.3256,0.0,top
C15,45.9433,-85.3322,180.0,top
C16,39.6442,-85.3576,180.0,top
C17,60.905,-87.38,270.0,top
C18,40.34,-89.1528,270.0,top
C19,70.09,-89.45,270.0,top
C2,48.905,-32.55,180.0,top
C20,54.655,-79.59,180.0,top
C21,57.335,-80.54,90.0,top
C22,58.486036,-87.121036,315.0,top
C23,64.405,-89.46,0.0,top
C24,73.735,-87.82,270.0,top
C3,38.552,-97.6568,270.0,top
C4,48.3818,-97.6168,90.0,top
C5,50.832366,-97.6568,270.0,top
C6,58.024064,-97.6168,90.0,top
C7,38.552,-94.0272,270.0,top
C8,48.3818,-93.9872,90.0,top
C9,50.832366,-93.9872,90.0,top
D1,79.225,-59.1,180.0,top
D2,76.925,-82.2676,270.0,top
D3,76.925,-66.1698,270.0,top
F1,106.215,-72.64,270.0,top
F2,97.425,-29.25,180.0,top
F3,76.025,-97.13,0.0,top
J1,42.775,-42.58,0.0,top
J10,80.435,-26.53,90.0,top
J11,69.505,-76.45,180.0,top
J12,69.505,-82.25,180.0,top
J13,42.68,-82.08,180.0,top
J14,42.68,-76.51,180.0,top
J15,72.195,-25.44,0.0,top
J16,71.225,-65.6,90.0,top
J17,72.195,-31.04,0.0,top
J18,56.725,-29.9,0.0,top
J19,48.925,-29.9,0.0,top
J2,63.095,-47.65,0.0,top
J20,117.035,-38.415,90.0,top
J21,117.035,-68.415,90.0,top
J22,117.035,-98.415,90.0,top
J24,38.895,-69.45,0.0,top
J5,43.505,-105.95,0.0,top
J6,56.1645,-105.95,0.0,top
J7,68.905,-105.95,0.0,top
J8,77.925,-105.22,90.0,top
PS1,89.2016,-47.1066,180.0,top
Q1,80.975,-97.26,270.0,top
R1,51.525,-50.75,270.0,top
R10,45.4862,-94.8628,180.0,top
R11,53.242932,-97.6568,90.0,top
R12,55.613498,-97.6568,270.0,top
R13,72.2155,-97.6206,270.0,top
R14,70.59,-97.63,270.0,top
R15,41.5746,-93.2372,0.0,top
R16,45.4862,-93.2372,0.0,top
R17,53.242932,-93.9872,90.0,top
R18,55.613498,-93.9872,270.0,top
R19,69.465,-95.0398,0.0,top
R2,50.325,-64.6,0.0,top
R20,62.16,-97.65,270.0,top
R21,69.465,-93.2872,0.0,top
R22,42.8954,-85.3322,180.0,top
R23,48.695,-78.73,180.0,top
R24,47.945,-81.005,90.0,top
R25,50.3402,-80.2696,180.0,top
R26,76.125,-59.1,180.0,top
R27,72.985,-85.34,0.0,top
R28,51.525,-47.65,90.0,top
R29,76.05,-71.0,0.0,top
R3,47.925,-46.9825,0.0,top
R30,48.025,-55.5,0.0,top
R31,50.125,-61.7,0.0,top
R34,72.155,-93.46,90.0,top
R35,81.955,-92.58,270.0,top
R36,82.39,-102.49,180.0,top
R37,82.37,-100.87,0.0,top
R38,82.095,-106.71,270.0,top
R39,77.445,-28.325,90.0,top
R4,50.125,-53.0,0.0,top
R40,77.445,-32.4,90.0,top
R5,45.425,-35.39,90.0,top
R6,45.425,-39.6,90.0,top
R7,64.35,-69.75,180.0,top
R8,64.35,-71.6,180.0,top
R9,41.5746,-94.8628,180.0,top
RELAY1,89.4466,-82.2926,0.0,top
RELAY2,89.4466,-66.1948,0.0,top
RELAY3,97.65,-102.575,0.0,top
T1,46.6375,-66.4,0.0,top
T2,47.925,-50.1625,90.0,top
T3,76.9125,-87.65,180.0,top
T4,79.025,-73.8375,270.0,top
T5,48.025,-58.6625,90.0,top
T6,79.935,-32.29,90.0,top
U1,56.789992,-50.530836,270.0,top
U2,53.465629,-84.882764,45.0,top
U3,56.215,-60.37,270.0,top
U4,76.809895,-92.145004,180.0,top
Y1,61.135,-79.76,90.0,top
